target,kd_diff,kd_ratio,kd_dominance,str_diff,str_ratio,str_dominance,td_diff,td_ratio,td_dominance,sub_diff,sub_ratio,sub_dominance,striking_volume_advantage,striking_dominance,knockdown_power,submission_threat,streak_diff,win_rate_diff,exp_diff
1.0,0,0.0,0,6,1.2177121771217712,1,2,20.0,1,2,20.0,1,9.0,2,0,3.6,0,0.0,0
1.0,0,0.0,0,22,2.08955223880597,1,1,1.8181818181818181,1,0,0.0,0,33.0,2,0,0.0,0,-0.5,1
0.0,0,0.0,0,-21,0.7658157602663708,0,-1,0.47619047619047616,0,0,0.0,0,-31.5,0,0,0.0,0,0.0,0
1.0,1,10.0,1,9,3.8709677419354835,1,0,0.0,0,0,0.0,0,13.5,2,2,0.0,0,0.0,0
1.0,0,0.0,0,48,2.165450121654501,1,1,10.0,1,0,0.0,0,72.0,2,0,0.0,0,-0.5,1
0.0,-1,0.0,0,-13,0.4329004329004329,0,4,40.0,1,1,10.0,1,-19.5,0,-2,1.8,0,0.0,0
1.0,0,0.0,0,2,20.0,1,1,10.0,1,1,10.0,1,3.0,2,0,1.8,0,0.0,0
1.0,0,0.0,0,7,1.264367816091954,1,5,50.0,1,-2,0.0,0,10.5,2,0,-3.6,0,0.0,0
1.0,0,0.0,0,8,1.1408199643493762,1,7,70.0,1,0,0.0,0,12.0,2,0,0.0,0,0.0,0
0.0,1,10.0,1,-1,0.9836065573770493,0,-2,0.0,0,0,0.0,0,-1.5,0,2,0.0,0,0.5,1
1.0,0,0.0,0,17,1.263650546021841,1,1,10.0,1,0,0.0,0,25.5,2,0,0.0,0,-0.5,1
